iter	Passed	Remaining
455	793	2685
456	794	2684
457	796	2681
458	798	2682
459	800	2680
460	802	2679
461	804	2676
462	805	2675
463	807	2672
464	808	2670
465	810	2668
466	812	2666
467	813	2664
468	815	2662
469	816	2658
470	818	2656
471	820	2654
472	821	2652
473	823	2650
474	825	2648
475	826	2647
476	828	2645
477	830	2643
478	831	2640
479	833	2638
480	835	2637
481	836	2635
482	838	2633
483	840	2631
484	841	2629
485	844	2631
486	846	2629
487	848	2627
488	849	2626
489	851	2624
490	853	2622
491	854	2620
492	856	2618
493	858	2616
494	859	2614
495	861	2612
496	863	2610
497	864	2608
498	866	2606
499	868	2604
500	869	2602
501	871	2600
502	873	2598
503	874	2596
504	876	2595
505	878	2593
506	880	2591
507	881	2589
508	883	2588
509	885	2586
510	887	2585
511	888	2583
512	890	2582
513	892	2581
514	894	2579
515	896	2576
516	897	2574
517	899	2572
518	900	2570
519	902	2568
520	904	2566
521	905	2564
522	907	2562
523	908	2560
524	910	2558
525	912	2557
526	914	2554
527	915	2553
528	918	2553
529	919	2551
530	921	2549
531	923	2547
532	925	2545
533	926	2542
534	927	2540
535	929	2539
536	931	2537
537	932	2535
538	934	2533
539	936	2531
540	937	2529
541	939	2527
542	941	2525
543	942	2523
544	944	2521
545	946	2519
546	947	2517
547	949	2516
548	951	2514
549	953	2514
550	956	2515
551	958	2513
552	959	2511
553	961	2509
554	962	2506
555	964	2504
556	966	2502
557	967	2501
558	970	2501
559	971	2499
560	973	2497
561	975	2495
562	977	2493
563	978	2491
564	980	2489
565	982	2488
566	983	2485
567	985	2483
568	986	2482
569	988	2480
570	990	2478
571	992	2476
572	994	2475
573	995	2473
574	997	2472
575	999	2470
576	1001	2469
577	1002	2467
578	1004	2465
579	1006	2463
580	1007	2461
581	1009	2459
582	1011	2457
583	1012	2455
584	1014	2454
585	1016	2452
586	1018	2451
587	1020	2449
588	1021	2447
589	1023	2445
590	1025	2444
591	1026	2442
592	1028	2440
593	1030	2438
594	1031	2436
595	1033	2434
596	1035	2433
597	1037	2431
598	1038	2429
599	1040	2427
600	1042	2425
601	1043	2423
602	1045	2422
603	1048	2423
604	1050	2422
605	1052	2421
606	1054	2421
607	1056	2419
608	1058	2417
609	1060	2417
610	1062	2415
611	1064	2414
612	1067	2414
613	1069	2413
614	1076	2424
615	1078	2423
616	1080	2420
617	1081	2419
618	1083	2418
619	1085	2416
620	1087	2414
621	1089	2412
622	1090	2411
623	1092	2409
624	1094	2407
625	1096	2406
626	1096	2401
627	1098	2400
628	1100	2399
629	1102	2397
630	1104	2395
631	1106	2394
632	1107	2392
633	1109	2390
634	1111	2388
635	1112	2386
636	1114	2385
637	1116	2383
638	1118	2381
639	1119	2379
640	1121	2377
641	1122	2375
642	1124	2373
643	1126	2371
644	1128	2369
645	1128	2366
646	1130	2364
647	1132	2362
648	1134	2361
649	1135	2359
650	1137	2356
651	1138	2354
652	1140	2353
653	1143	2353
654	1146	2353
655	1147	2351
656	1149	2350
657	1151	2348
658	1153	2346
659	1155	2345
660	1156	2343
661	1158	2341
662	1160	2339
663	1161	2337
664	1163	2335
665	1164	2333
666	1166	2331
667	1168	2329
668	1169	2327
669	1171	2326
670	1173	2324
671	1175	2322
672	1176	2318
673	1177	2317
674	1179	2315
675	1181	2313
676	1183	2312
677	1184	2310
678	1186	2308
679	1188	2306
680	1189	2304
681	1191	2302
682	1192	2298
683	1193	2297
684	1195	2294
685	1197	2292
686	1198	2291
687	1200	2289
688	1202	2287
689	1203	2285
690	1205	2283
691	1206	2281
692	1207	2278
693	1209	2275
694	1211	2274
695	1212	2271
696	1214	2270
697	1216	2268
698	1217	2266
699	1219	2264
700	1220	2262
701	1222	2259
702	1223	2258
703	1225	2256
704	1227	2254
705	1229	2253
706	1230	2251
707	1232	2249
708	1234	2247
709	1235	2245
710	1237	2243
711	1239	2241
712	1240	2239
713	1242	2238
714	1244	2236
715	1245	2234
716	1247	2232
717	1249	2231
718	1251	2229
719	1252	2226
720	1253	2224
721	1255	2222
722	1257	2220
723	1259	2219
724	1260	2216
725	1261	2214
726	1263	2212
727	1265	2210
728	1266	2208
729	1268	2206
730	1270	2205
731	1271	2203
732	1273	2201
733	1275	2199
734	1277	2198
735	1278	2196
736	1280	2195
737	1282	2193
738	1284	2191
739	1285	2189
740	1287	2187
741	1289	2185
742	1291	2184
743	1292	2182
744	1293	2179
745	1295	2177
746	1297	2176
747	1299	2174
748	1301	2173
749	1302	2170
750	1304	2169
751	1306	2168
752	1308	2166
753	1310	2165
754	1312	2164
755	1314	2162
756	1316	2161
757	1317	2159
758	1319	2157
759	1321	2156
760	1324	2155
761	1325	2154
762	1327	2152
763	1329	2150
764	1331	2149
765	1333	2148
766	1335	2146
767	1337	2145
768	1339	2144
769	1341	2143
770	1343	2142
771	1347	2142
772	1350	2143
773	1352	2142
774	1355	2141
775	1357	2141
776	1360	2140
777	1363	2142
778	1365	2140
779	1368	2140
780	1370	2139
781	1372	2138
782	1375	2137
783	1376	2135
784	1378	2134
785	1381	2133
786	1383	2132
787	1385	2131
788	1387	2129
789	1389	2128
790	1391	2126
791	1393	2124
792	1394	2123
793	1396	2121
794	1399	2120
795	1401	2119
796	1403	2118
797	1405	2117
798	1407	2116
799	1409	2114
800	1412	2113
801	1414	2113
802	1416	2111
803	1418	2110
804	1420	2108
805	1422	2107
806	1424	2105
807	1426	2104
808	1428	2103
809	1430	2102
810	1432	2100
811	1434	2098
812	1436	2097
813	1438	2096
814	1441	2095
815	1442	2093
816	1444	2091
817	1446	2089
818	1448	2088
819	1449	2086
820	1451	2084
821	1452	2082
822	1454	2080
823	1456	2078
824	1458	2076
825	1459	2074
826	1461	2073
827	1463	2071
828	1465	2069
829	1466	2067
830	1468	2065
831	1470	2064
832	1471	2062
833	1473	2060
834	1475	2058
835	1477	2056
836	1479	2055
837	1480	2053
838	1482	2051
839	1484	2049
840	1485	2047
841	1487	2045
842	1489	2043
843	1490	2041
844	1492	2039
845	1493	2037
846	1495	2035
847	1496	2033
848	1499	2033
849	1501	2031
850	1503	2029
851	1505	2028
852	1507	2026
853	1509	2025
854	1511	2023
855	1512	2022
856	1514	2020
857	1516	2018
858	1518	2016
859	1520	2015
860	1522	2013
861	1523	2011
862	1525	2009
863	1527	2008
864	1529	2006
865	1531	2005
866	1533	2003
867	1535	2002
868	1537	2001
869	1540	2001
870	1542	1999
871	1545	1999
872	1547	1997
873	1549	1996
874	1551	1994
875	1553	1992
876	1555	1991
877	1556	1989
878	1558	1987
879	1560	1985
880	1561	1983
881	1563	1981
882	1565	1979
883	1566	1977
884	1568	1975
885	1570	1974
886	1571	1972
887	1573	1970
888	1575	1968
889	1577	1966
890	1578	1964
891	1579	1962
892	1581	1960
893	1583	1958
894	1585	1957
895	1586	1955
896	1587	1952
897	1589	1950
898	1591	1948
899	1592	1946
900	1594	1945
901	1596	1942
902	1597	1941
903	1599	1939
904	1601	1937
905	1602	1935
906	1604	1933
907	1606	1931
908	1607	1929
909	1609	1928
910	1611	1926
911	1613	1924
912	1614	1922
913	1616	1920
914	1618	1919
915	1620	1917
916	1622	1915
917	1623	1913
918	1625	1912
919	1627	1910
920	1629	1908
921	1630	1906
922	1632	1904
923	1634	1903
924	1635	1900
925	1637	1898
926	1638	1896
927	1639	1893
928	1640	1891
929	1642	1889
930	1644	1887
931	1645	1885
932	1647	1883
933	1648	1882
934	1650	1879
935	1651	1877
936	1653	1875
937	1654	1873
938	1656	1871
939	1658	1870
940	1660	1868
941	1661	1866
942	1663	1864
943	1665	1862
944	1667	1861
945	1668	1859
946	1670	1857
947	1672	1855
948	1674	1854
949	1677	1853
950	1679	1852
951	1681	1851
952	1683	1849
953	1685	1848
954	1686	1845
955	1688	1843
956	1690	1842
957	1692	1840
958	1694	1839
959	1695	1836
960	1697	1835
961	1698	1832
962	1699	1830
963	1701	1828
964	1703	1827
965	1705	1825
966	1707	1823
967	1709	1822
968	1710	1820
969	1712	1818
970	1714	1816
971	1716	1814
972	1717	1813
973	1719	1811
974	1721	1809
975	1723	1807
976	1725	1806
977	1726	1804
978	1728	1802
979	1730	1800
980	1732	1799
981	1734	1797
982	1736	1796
983	1737	1794
984	1739	1792
985	1741	1791
986	1743	1789
987	1745	1787
988	1746	1785
989	1749	1784
990	1750	1782
991	1752	1780
992	1754	1778
993	1755	1777
994	1757	1775
995	1759	1773
996	1761	1771
997	1762	1769
998	1764	1767
999	1766	1766
1000	1768	1764
1001	1769	1762
1002	1771	1760
1003	1773	1758
1004	1775	1757
1005	1776	1755
1006	1778	1753
1007	1779	1751
1008	1781	1749
1009	1783	1748
1010	1785	1746
1011	1786	1744
1012	1788	1742
1013	1789	1740
1014	1791	1738
1015	1793	1737
1016	1795	1735
1017	1796	1733
1018	1798	1731
1019	1800	1729
1020	1802	1728
1021	1803	1726
1022	1805	1724
1023	1807	1722
1024	1809	1721
1025	1810	1719
1026	1812	1717
1027	1814	1715
1028	1816	1713
1029	1817	1712
1030	1819	1710
1031	1821	1708
1032	1823	1706
1033	1825	1705
1034	1826	1703
1035	1828	1701
1036	1830	1699
1037	1832	1698
1038	1833	1696
1039	1835	1694
1040	1837	1692
1041	1839	1690
1042	1840	1689
1043	1842	1686
1044	1843	1685
1045	1845	1683
1046	1846	1681
1047	1848	1679
1048	1850	1677
1049	1852	1675
1050	1854	1674
